aX,aY,aZ,gX,gY,gZ
0.366,-0.963,-0.329,-18.250,-19.836,34.241
0.347,-0.898,-0.321,-25.024,-18.677,38.696
0.345,-0.846,-0.318,-26.184,-15.381,41.138
0.366,-0.786,-0.342,-20.325,-10.559,44.495
0.406,-0.769,-0.351,-12.817,-8.179,44.800

-0.696,-1.364,-0.214,-92.712,-3.906,-237.732
-0.721,-1.324,-0.006,-20.996,57.556,-145.569
-0.757,-1.774,-0.274,194.458,109.070,-110.535
-0.678,-2.687,-0.862,275.024,174.622,-100.647
-0.222,-3.171,-1.030,244.324,169.312,-117.554
-0.003,-4.000,-1.080,96.985,80.322,-161.743
-0.115,-4.000,-0.868,0.488,13.123,-163.635
-0.617,-3.261,-0.235,-147.461,-88.501,-98.816
-0.971,-2.456,-0.106,-167.175,-94.910,-44.434
-1.099,-0.592,-0.120,-84.839,-9.399,57.800
-0.940,0.316,-0.316,-18.311,21.790,74.646
-0.529,0.935,-0.539,93.079,55.664,53.711
-0.455,0.751,-0.613,115.906,62.988,20.325
-0.457,-0.113,-0.824,79.529,54.382,-53.406
-0.409,-1.276,-0.810,8.423,29.541,-97.534
-0.358,-1.774,-0.779,-20.142,18.738,-95.154
-0.139,-1.943,-0.772,-47.424,23.254,-45.288
-0.007,-1.696,-0.751,-49.866,25.818,-14.282
0.005,-1.292,-0.561,-42.419,12.146,26.611
-0.099,-1.099,-0.517,-22.705,6.470,43.091
-0.160,-0.647,-0.500,-21.301,14.526,44.250
-0.110,-0.410,-0.543,-2.258,35.767,33.630
0.002,-0.246,-0.648,7.629,41.321,20.325
0.077,-0.472,-0.706,22.888,37.354,-7.141
0.088,-0.587,-0.717,21.301,31.433,-15.442
0.109,-0.727,-0.742,7.629,22.339,-22.888
0.120,-0.776,-0.754,2.563,18.433,-24.597
0.126,-0.841,-0.760,-0.366,8.545,-24.414
0.122,-0.865,-0.744,0.977,2.991,-22.522
0.109,-0.888,-0.677,-1.343,-7.141,-17.334
0.065,-0.850,-0.616,-6.531,-12.207,-12.512
0.054,-0.841,-0.584,-6.836,-13.000,-10.864
0.041,-0.877,-0.552,-3.052,-11.597,-8.118
0.040,-0.913,-0.554,-0.183,-10.010,-4.272
0.050,-0.948,-0.554,2.380,-7.935,-2.258
0.052,-0.952,-0.557,2.502,-7.935,1.953
0.036,-0.915,-0.554,1.099,-7.812,3.723
0.024,-0.850,-0.546,-0.061,-6.409,6.470
0.014,-0.837,-0.548,0.793,-6.592,6.775
-0.009,-0.832,-0.530,-0.610,-6.592,5.066
