aX,aY,aZ,gX,gY,gZ
0.491,-3.724,-0.636,-48.035,-128.723,255.798
0.643,-3.487,0.089,-6.287,-131.042,321.411
0.615,-3.191,0.332,36.377,-121.338,337.769
0.159,-2.032,0.459,112.549,-88.440,367.859
-0.131,-1.449,0.449,150.757,-76.111,377.136
-0.327,-1.037,0.449,186.768,-65.918,362.549
-0.489,-0.579,0.483,231.995,-59.937,348.877
-0.539,-0.347,0.464,229.858,-35.645,327.515
-0.382,0.069,0.465,193.176,-41.504,314.819
-0.278,0.166,0.361,173.157,-61.218,283.752
-0.162,0.131,0.107,124.207,-78.064,277.588
-0.036,0.077,0.066,87.341,-92.529,277.832
-0.174,0.078,0.221,45.288,-113.708,298.645
-0.401,0.302,0.451,46.387,-113.281,314.636
-0.612,0.636,0.844,61.707,-100.098,324.463
-1.178,1.588,1.682,159.973,-32.043,306.519
-1.350,2.152,1.982,222.961,19.592,276.978
-1.553,2.717,2.249,276.428,126.282,181.580
-1.234,3.416,2.009,325.806,155.090,87.646
-0.717,3.246,1.560,287.231,159.546,-23.560
0.099,2.028,0.273,68.604,102.844,-170.654
0.244,1.298,-0.382,-76.355,37.048,-171.021
0.436,0.622,-0.773,-215.576,-34.363,-67.810
1.070,-0.390,-0.821,-367.981,-176.941,-11.963
1.480,-0.854,-0.240,-292.847,-251.465,70.190
1.506,-0.747,0.098,-202.209,-231.079,89.172
1.395,-0.457,0.302,-5.005,-94.910,70.923
1.063,0.041,0.216,75.256,-21.729,52.063
0.950,0.244,0.123,127.258,30.579,40.588
0.774,0.447,0.073,151.978,63.171,35.095
0.563,0.783,0.118,150.879,111.206,26.794
0.554,0.867,0.203,135.010,114.441,12.146
0.646,0.750,0.282,90.759,79.956,-14.526
0.708,0.626,0.314,61.218,56.274,-19.226
0.859,0.469,0.420,4.517,10.315,-15.015
0.903,0.389,0.458,-12.756,-9.827,-11.780
0.994,0.252,0.493,-23.376,-37.781,-9.705
1.012,0.195,0.462,-17.700,-40.588,-11.230
1.017,0.144,0.344,0.183,-25.330,-12.085
0.982,0.138,0.306,8.179,-15.137,-11.047
0.975,0.153,0.264,14.038,9.277,-9.277
